bank,year,pos,neg,neu,net_positivity,n_sentences
Barclays,2017,0.26015135645866394,0.07622668892145157,0.6636223196983337,0.18392466753721237,730
Barclays,2018,0.16167761385440826,0.09701584279537201,0.741306483745575,0.06466177105903625,443
Barclays,2019,0.16693812608718872,0.11383038014173508,0.719231128692627,0.053107745945453644,695
Barclays,2020,0.24240641295909882,0.07820888608694077,0.6793853640556335,0.16419752687215805,845
Barclays,2021,0.21801118552684784,0.10249198973178864,0.6794970631599426,0.1155191957950592,986
Barclays,2022,0.2303021103143692,0.10163847357034683,0.6680594682693481,0.12866363674402237,1225
Barclays,2023,0.2071412354707718,0.1301238089799881,0.6627351641654968,0.07701742649078369,1318
Barclays,2024,0.18834324181079865,0.12385685741901398,0.6877999901771545,0.06448638439178467,1411
HSBC,2017,0.3044676184654236,0.03165002539753914,0.6638823747634888,0.27281759306788445,313
HSBC,2018,0.31615811586380005,0.062132369726896286,0.6217098236083984,0.25402574613690376,775
HSBC,2019,0.30848944187164307,0.05829869210720062,0.6332118511199951,0.25019074976444244,1465
HSBC,2020,0.3142370283603668,0.07044558972120285,0.6153179407119751,0.24379143863916397,1500
HSBC,2021,0.3146987855434418,0.0540454238653183,0.6312558054924011,0.2606533616781235,1500
HSBC,2022,0.31981131434440613,0.05394401401281357,0.6262444257736206,0.26586730033159256,1500
HSBC,2023,0.2866020202636719,0.04939645528793335,0.6640015244483948,0.23720556497573853,1500
HSBC,2024,0.3004869520664215,0.06101379543542862,0.6384984254837036,0.2394731566309929,1500
Lloyds,2017,0.23700647056102753,0.04449211061000824,0.7185014486312866,0.1925143599510193,1500
Lloyds,2018,0.23430155217647552,0.04642093554139137,0.7192767858505249,0.18788061663508415,1500
Lloyds,2019,0.14961692690849304,0.028899800032377243,0.8214832544326782,0.1207171268761158,27
Lloyds,2020,0.30106472969055176,0.04930926486849785,0.6496261358261108,0.2517554648220539,1453
Lloyds,2021,0.33830857276916504,0.037890370935201645,0.6238012313842773,0.3004182018339634,1201
Lloyds,2022,0.2869888246059418,0.046856556087732315,0.6661543250083923,0.24013226851820946,1297
Lloyds,2023,0.3477092683315277,0.03699120506644249,0.6152993440628052,0.3107180632650852,1500
Lloyds,2024,0.3733829855918884,0.03053121455013752,0.596085250377655,0.3428517710417509,1500
Natwest,2017,0.14042046666145325,0.09106957912445068,0.7685102224349976,0.049350887537002563,477
Natwest,2018,0.12215691804885864,0.14407168328762054,0.733771562576294,-0.021914765238761902,700
Natwest,2019,0.14828716218471527,0.12703466415405273,0.7246783375740051,0.021252498030662537,992
Natwest,2020,0.12838715314865112,0.13598623871803284,0.735626757144928,-0.007599085569381714,1298
Natwest,2021,0.28138524293899536,0.03426176309585571,0.6843528747558594,0.24712347984313965,1500
Natwest,2022,0.2769276201725006,0.034942980855703354,0.6881293058395386,0.24198463931679726,1456
Natwest,2023,0.26652833819389343,0.03528987243771553,0.6981818079948425,0.2312384657561779,1409
Natwest,2024,0.2433423101902008,0.04515771567821503,0.711500346660614,0.19818459451198578,1500
Santander,2017,0.29374146461486816,0.06648296862840652,0.6397753953933716,0.22725849598646164,1116
Santander,2018,0.3707429766654968,0.04825896769762039,0.5809981226921082,0.32248400896787643,526
Santander,2019,0.18242047727108002,0.08885850757360458,0.728721022605896,0.09356196969747543,281
Santander,2020,0.18653327226638794,0.06493192911148071,0.7485349178314209,0.12160134315490723,628
Santander,2021,0.20395557582378387,0.04128961265087128,0.7547549605369568,0.1626659631729126,673
Santander,2022,0.23297849297523499,0.03903040289878845,0.727990984916687,0.19394809007644653,715
Santander,2023,0.17891481518745422,0.0548907034099102,0.7661952376365662,0.12402411177754402,1118
Santander,2024,0.20111902058124542,0.07120146602392197,0.7276790142059326,0.12991755455732346,1500
StandardChartered,2017,0.19823303818702698,0.041418612003326416,0.7603485584259033,0.15681442618370056,1069
StandardChartered,2018,0.4067227244377136,0.0312863253057003,0.5619910359382629,0.3754363991320133,176
StandardChartered,2019,0.33954501152038574,0.04390667751431465,0.6165482401847839,0.2956383340060711,234
StandardChartered,2020,0.28521379828453064,0.06213759630918503,0.6526485085487366,0.2230762019753456,218
StandardChartered,2021,0.1782928854227066,0.03960827365517616,0.7820992469787598,0.13868461176753044,817
StandardChartered,2022,0.3703344464302063,0.07652232050895691,0.5531436204910278,0.2938121259212494,1500
StandardChartered,2023,0.3758922815322876,0.06409343332052231,0.5600141286849976,0.3117988482117653,1500
StandardChartered,2024,0.3383919894695282,0.06271350383758545,0.5988942980766296,0.27567848563194275,1500
